City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
242,Santa Rosa,PH,14.3122,121.1114,84.11,72,69,5.99,broken clouds
243,Hasaki,JP,35.7333,140.8333,52.29,82,100,32.46,overcast clouds
244,Vostok,RU,46.4856,135.8833,42.26,52,93,6.62,overcast clouds
245,Luderitz,NA,-26.6481,15.1594,57.56,69,0,13.13,clear sky
246,Dikson,RU,73.5069,80.5464,18.03,96,100,2.89,overcast clouds
247,Escanaba,US,45.7453,-87.0646,34.11,46,100,13.8,overcast clouds
248,Amapa,BR,1.0,-52.0,72.63,98,99,2.08,overcast clouds
249,Necochea,AR,-38.5473,-58.7368,56.62,67,0,9.17,clear sky
250,Kantunilkin,MX,21.0917,-87.45,82.67,56,7,7.11,clear sky
251,Ust-Omchug,RU,61.15,149.6333,13.75,76,100,3.98,overcast clouds
252,Quelimane,MZ,-17.8786,36.8883,75.97,94,2,4.23,clear sky
253,Baisha,CN,26.5222,110.9311,50.45,97,100,5.21,overcast clouds
254,Opuwo,NA,-18.0607,13.84,68.09,50,47,4.16,scattered clouds
255,San Angelo,US,31.4638,-100.437,93.42,14,0,13.8,clear sky
256,Dera Ghazi Khan,PK,30.0561,70.6348,80.46,21,0,7.2,clear sky
257,Mar Del Plata,AR,-38.0023,-57.5575,62.1,85,0,21.99,clear sky
258,Ruteng,ID,-8.6136,120.4721,69.82,76,64,1.25,broken clouds
259,Grants,US,35.1473,-107.8514,70.03,7,0,16.11,clear sky
260,Salalah,OM,17.0151,54.0924,78.89,83,20,2.3,few clouds
261,Waipawa,NZ,-41.4122,175.5153,62.83,62,9,22.39,clear sky
262,Batemans Bay,AU,-35.7167,150.1833,66.09,53,98,0.92,overcast clouds
263,Mersing,MY,2.4312,103.8405,77.83,90,100,5.64,overcast clouds
264,Gat,IL,31.61,34.7642,57.88,66,92,2.15,overcast clouds
265,Pietersburg,ZA,-23.9045,29.4688,65.59,57,22,8.37,few clouds
266,Lethem,GY,3.3803,-59.7968,74.88,85,95,6.71,overcast clouds
267,Mantua,IT,45.1667,10.7833,56.34,70,27,4.09,scattered clouds
268,Bafra,TR,41.5678,35.9069,50.83,81,0,5.55,clear sky
269,Sechura,PE,-5.5569,-80.8222,71.74,68,15,16.75,few clouds
270,Chokurdakh,RU,70.6333,147.9167,10.8,89,100,5.55,overcast clouds
271,Boddam,GB,57.4667,-1.7833,46.78,93,100,19.24,overcast clouds
272,Phibun Mangsahan,TH,15.2447,105.2291,80.8,69,76,8.59,broken clouds
273,Leshukonskoye,RU,64.8989,45.7622,12.85,98,48,2.91,scattered clouds
274,Thanh Hoa,VN,19.8,105.7667,77.95,89,92,7.76,overcast clouds
275,Mareeba,AU,-17.0,145.4333,77.49,69,100,5.55,overcast clouds
276,Honiara,SB,-9.4333,159.95,82.54,74,100,3.62,overcast clouds
277,Abaujszanto,HU,48.2833,21.2,51.06,81,96,8.75,overcast clouds
278,Chimbote,PE,-9.0853,-78.5783,66.27,85,18,9.22,few clouds
279,Hofn,IS,64.2539,-15.2082,45.23,91,73,1.5,broken clouds
280,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.25,63,94,18.5,overcast clouds
281,Mudbidri,IN,13.0833,74.9833,78.42,83,40,4.61,scattered clouds
282,Vuktyl,RU,63.8567,57.3094,24.19,90,100,12.48,light snow
283,Provideniya,RU,64.3833,-173.3,32.79,95,100,27.56,overcast clouds
284,Kirakira,SB,-10.4544,161.9205,84.85,70,71,5.32,broken clouds
285,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,87,25,5.35,scattered clouds
286,Quatre Cocos,MU,-20.2078,57.7625,76.08,83,49,19.06,light rain
287,Carnarvon,AU,-24.8667,113.6333,73.47,64,59,9.22,broken clouds
288,Mukhen,RU,48.1,136.1,46.31,41,100,10.09,overcast clouds
289,Clyde River,CA,70.4692,-68.5914,-16.38,97,32,5.03,scattered clouds
290,Marsh Harbour,BS,26.5412,-77.0636,71.01,79,100,24.25,overcast clouds
291,Moree,AU,-29.4667,149.85,69.82,52,99,8.05,overcast clouds
292,Souillac,MU,-20.5167,57.5167,75.74,84,54,18.66,light rain
293,Kalmunai,LK,7.4167,81.8167,78.8,89,11,10.25,few clouds
294,Severobaykalsk,RU,55.65,109.3167,30.7,86,94,2.42,overcast clouds
295,Debre Tabor,ET,11.85,38.0167,57.83,57,95,3.13,overcast clouds
296,Potsdam,DE,52.3989,13.0657,41.09,87,70,8.01,broken clouds
297,Pemangkat,ID,1.1667,108.9667,79.32,85,68,4.38,broken clouds
298,Bethanien,NA,-26.502,17.1583,56.91,23,0,2.95,clear sky
299,Alegrete,BR,-29.7831,-55.7919,55.71,73,0,4.65,clear sky
300,Tayoltita,MX,24.0833,-105.9333,83.01,16,94,6.82,overcast clouds
301,Pringsewu,ID,-5.3582,104.9744,74.84,96,100,2.1,overcast clouds
302,Takanabe,JP,32.1333,131.5,59.54,45,84,9.46,broken clouds
303,Ekhabi,RU,53.5102,142.9671,31.55,76,60,13.2,broken clouds
304,Zaysan,KZ,47.4667,84.8667,41.25,23,0,1.97,clear sky
305,Kang,BW,-23.6752,22.7876,64.44,73,47,4.65,scattered clouds
306,Taltal,CL,-25.4,-70.4833,61.48,77,16,3.56,few clouds
307,Saravan,AM,39.7196,45.6483,33.75,74,33,8.23,scattered clouds
308,Uvat,RU,59.1433,68.8953,43.54,91,98,5.59,overcast clouds
309,Kyaikkami,MM,16.08,97.5675,82.83,74,20,7.45,few clouds
310,Wangaratta,AU,-36.3667,146.3333,72.9,60,12,4.61,few clouds
311,Mama,RU,58.3106,112.8986,23.72,87,99,1.86,overcast clouds
312,Shubarkuduk,KZ,49.1447,56.4872,44.19,81,3,4.81,clear sky
313,Bodden Town,KY,19.2833,-81.25,82.4,70,20,9.22,few clouds
314,Bima,ID,-8.4667,118.7167,81.5,85,78,2.82,broken clouds
315,Port Blair,IN,11.6667,92.75,80.82,75,1,2.28,clear sky
316,Chapadinha,BR,-3.7417,-43.3603,73.54,98,74,2.53,light rain
317,Hokitika,NZ,-42.7167,170.9667,61.5,77,74,15.59,broken clouds
318,Tura,IN,25.5198,90.2201,73.65,94,68,9.95,broken clouds
319,Ongwediva,NA,-17.7833,15.7667,75.27,40,28,5.03,scattered clouds
320,Atar,MR,20.5169,-13.0499,76.59,16,0,1.25,clear sky
321,Aksu,CN,41.1231,80.2644,58.89,16,87,15.95,overcast clouds
322,Corinto,GR,37.9407,22.9573,54.41,66,100,1.01,overcast clouds
323,Thatta,PK,24.7475,67.9235,78.3,80,0,14.5,clear sky
324,Lahaina,US,20.8783,-156.6825,82.4,88,55,11.23,broken clouds
325,Mufumbwe,ZM,-13.6833,24.8,63.81,97,97,3.51,light rain
326,Lucea,JM,18.451,-78.1736,80.46,76,15,8.25,few clouds
